Date : 2024-03-06 16:39:14
Directory : c:\Users\DELL\Desktop\bilibili
Total : 57 files,  10436 codes, 126 comments, 975 blanks, all 11537 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\views\account\face (Files)                                         |          1 |         24 |          0 |          5 |         29 |
| src\views\account\face\upload                                          |          1 |        122 |          0 |         11 |        133 |
| src\views\account\face\vip                                             |          1 |         46 |          0 |          4 |         50 |
| src\views\account\home                                                 |          1 |        220 |          0 |         19 |        239 |
| src\views\account\setting                                              |          1 |         84 |          0 |          3 |         87 |
| src\views\dynamic                                                      |          1 |      1,750 |          0 |        103 |      1,853 |
| src\views\findPassword                                                 |          1 |        171 |          0 |         12 |        183 |
| src\views\home                                                         |          1 |        266 |          0 |         29 |        295 |
| src\views\platform                                                     |          3 |        172 |          1 |         11 |        184 |
| src\views\platform (Files)                                             |          1 |         93 |          1 |          3 |         97 |
| src\views\platform\menu                                                |          1 |         71 |          0 |          3 |         74 |
| src\views\platform\upload                                              |          1 |          8 |          0 |          5 |         13 |
| src\views\space                                                        |          6 |      2,007 |          0 |        146 |      2,153 |
| src\views\space (Files)                                                |          1 |        244 |          0 |         24 |        268 |
| src\views\space\collection                                             |          1 |          8 |          0 |          5 |         13 |
| src\views\space\collector                                              |          1 |          8 |          0 |          5 |         13 |
| src\views\space\dynamic                                                |          1 |      1,303 |          0 |         59 |      1,362 |
| src\views\space\home                                                   |          1 |        436 |          0 |         48 |        484 |
| src\views\space\tougao                                                 |          1 |          8 |          0 |          5 |         13 |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\DELL\Desktop\bilibili\.eslintrc.cjs                           | JavaScript         |         43 |         12 |          3 |         58 |
| c:\Users\DELL\Desktop\bilibili\.stylelintrc.cjs                        | JavaScript         |         46 |          6 |          1 |         53 |
| c:\Users\DELL\Desktop\bilibili\README.md                               | Markdown           |         11 |          0 |          8 |         19 |
| c:\Users\DELL\Desktop\bilibili\index.html                              | HTML               |         13 |          0 |          1 |         14 |
| c:\Users\DELL\Desktop\bilibili\package.json                            | JSON               |         55 |          0 |          1 |         56 |
| c:\Users\DELL\Desktop\bilibili\pnpm-lock.yaml                          | YAML               |      3,248 |          0 |        485 |      3,733 |
| c:\Users\DELL\Desktop\bilibili\scripts\preinstall.js                   | JavaScript         |          7 |          0 |          0 |          7 |
| c:\Users\DELL\Desktop\bilibili\src\App.vue                             | Vue                |         38 |          0 |          3 |         41 |
| c:\Users\DELL\Desktop\bilibili\src\api\collector\index.ts              | TypeScript         |          6 |          2 |          0 |          8 |
| c:\Users\DELL\Desktop\bilibili\src\api\collector\type.ts               | TypeScript         |         19 |          0 |          0 |         19 |
| c:\Users\DELL\Desktop\bilibili\src\api\dynamic\index.ts                | TypeScript         |         32 |         28 |          0 |         60 |
| c:\Users\DELL\Desktop\bilibili\src\api\dynamic\type.ts                 | TypeScript         |        122 |          0 |          0 |        122 |
| c:\Users\DELL\Desktop\bilibili\src\api\user\index.ts                   | TypeScript         |         30 |         26 |          1 |         57 |
| c:\Users\DELL\Desktop\bilibili\src\api\user\type.ts                    | TypeScript         |         87 |          0 |          2 |         89 |
| c:\Users\DELL\Desktop\bilibili\src\api\video\index.ts                  | TypeScript         |         12 |          8 |          0 |         20 |
| c:\Users\DELL\Desktop\bilibili\src\api\video\type.ts                   | TypeScript         |         25 |          0 |          0 |         25 |
| c:\Users\DELL\Desktop\bilibili\src\assets\vue.svg                      | XML                |          1 |          0 |          0 |          1 |
| c:\Users\DELL\Desktop\bilibili\src\components\outerVideo\index.vue     | Vue                |         83 |          0 |          9 |         92 |
| c:\Users\DELL\Desktop\bilibili\src\layout\index.vue                    | Vue                |         32 |          0 |          4 |         36 |
| c:\Users\DELL\Desktop\bilibili\src\layout\main\index.vue               | Vue                |          9 |          0 |          4 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\layout\tabbar\index.vue             | Vue                |        744 |          0 |         45 |        789 |
| c:\Users\DELL\Desktop\bilibili\src\main.ts                             | TypeScript         |         16 |          1 |          2 |         19 |
| c:\Users\DELL\Desktop\bilibili\src\permission.ts                       | TypeScript         |         35 |         18 |          1 |         54 |
| c:\Users\DELL\Desktop\bilibili\src\router\index.ts                     | TypeScript         |         13 |          0 |          0 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\router\route.ts                     | TypeScript         |        111 |          1 |          0 |        112 |
| c:\Users\DELL\Desktop\bilibili\src\store\index.ts                      | TypeScript         |          3 |          0 |          0 |          3 |
| c:\Users\DELL\Desktop\bilibili\src\store\modules\style.ts              | TypeScript         |         14 |          0 |          1 |         15 |
| c:\Users\DELL\Desktop\bilibili\src\store\modules\types\index.ts        | TypeScript         |         29 |          0 |          0 |         29 |
| c:\Users\DELL\Desktop\bilibili\src\store\modules\user.ts               | TypeScript         |        110 |         10 |          0 |        120 |
| c:\Users\DELL\Desktop\bilibili\src\styles\index.scss                   | SCSS               |          1 |          1 |          2 |          4 |
| c:\Users\DELL\Desktop\bilibili\src\styles\reset.scss                   | SCSS               |        170 |          0 |         24 |        194 |
| c:\Users\DELL\Desktop\bilibili\src\utils\request.ts                    | TypeScript         |         42 |          4 |          1 |         47 |
| c:\Users\DELL\Desktop\bilibili\src\views\404\index.vue                 | Vue                |         21 |          0 |          4 |         25 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\blacklist\index.vue   | Vue                |         97 |          0 |          8 |        105 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\coin\index.vue        | Vue                |         65 |          0 |          5 |         70 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\face\index.vue        | Vue                |         24 |          0 |          5 |         29 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\face\upload\index.vue | Vue                |        122 |          0 |         11 |        133 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\face\vip\index.vue    | Vue                |         46 |          0 |          4 |         50 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\home\index.vue        | Vue                |        220 |          0 |         19 |        239 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\index.vue             | Vue                |        127 |          0 |          9 |        136 |
| c:\Users\DELL\Desktop\bilibili\src\views\account\setting\index.vue     | Vue                |         84 |          0 |          3 |         87 |
| c:\Users\DELL\Desktop\bilibili\src\views\dynamic\index.vue             | Vue                |      1,750 |          0 |        103 |      1,853 |
| c:\Users\DELL\Desktop\bilibili\src\views\findPassword\index.vue        | Vue                |        171 |          0 |         12 |        183 |
| c:\Users\DELL\Desktop\bilibili\src\views\home\index.vue                | Vue                |        266 |          0 |         29 |        295 |
| c:\Users\DELL\Desktop\bilibili\src\views\platform\index.vue            | Vue                |         93 |          1 |          3 |         97 |
| c:\Users\DELL\Desktop\bilibili\src\views\platform\menu\index.vue       | Vue                |         71 |          0 |          3 |         74 |
| c:\Users\DELL\Desktop\bilibili\src\views\platform\upload\index.vue     | Vue                |          8 |          0 |          5 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\collection\index.vue    | Vue                |          8 |          0 |          5 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\collector\index.vue     | Vue                |          8 |          0 |          5 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\dynamic\index.vue       | Vue                |      1,303 |          0 |         59 |      1,362 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\home\index.vue          | Vue                |        436 |          0 |         48 |        484 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\index.vue               | Vue                |        244 |          0 |         24 |        268 |
| c:\Users\DELL\Desktop\bilibili\src\views\space\tougao\index.vue        | Vue                |          8 |          0 |          5 |         13 |
| c:\Users\DELL\Desktop\bilibili\src\vite-env.d.ts                       | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\DELL\Desktop\bilibili\tsconfig.json                           | JSON with Comments |         26 |          2 |          4 |         32 |
| c:\Users\DELL\Desktop\bilibili\tsconfig.node.json                      | JSON               |         11 |          0 |          1 |         12 |
| c:\Users\DELL\Desktop\bilibili\vite.config.ts                          | TypeScript         |         20 |          5 |          2 |         27 |
| Total                                                                  |                    |     10,436 |        126 |        975 |     11,537 |
+------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
